Age,Income,Days,Holiday,Channel,Loyalty,Promo,Purchase
50,66403.0,14,0,Mobile,4.3418032335226275,1,0
44,82309.0,4,0,Online,6.518633282744181,1,1
51,29895.0,11,1,In-Store,6.3484097078381545,1,0
60,94792.0,29,0,Online,5.3321632762445335,1,1
43,66602.0,23,0,Mobile,4.635370691074701,1,1
43,62195.0,3,0,Mobile,4.711725790955889,1,1
61,40968.0,11,0,Mobile,5.640881508439305,1,1
53,47263.0,6,0,In-Store,4.143496277872268,1,1
40,52449.0,48,0,Online,4.290152995689246,1,0
50,31483.0,22,0,Online,4.42610216647115,1,0
40,53703.0,29,0,Mobile,6.415842471818649,1,0
40,42157.0,6,0,Online,5.50191312210205,1,0
47,73659.0,25,0,In-Store,4.549123549436288,1,1
26,20000.0,13,0,In-Store,5.42933379325934,1,0
28,55059.0,6,0,Online,5.485009111267455,1,0
39,40646.0,0,1,Mobile,5.769485431388702,1,0
35,60054.0,16,0,Online,6.244463078296606,1,0
48,107077.0,61,0,In-Store,6.90234529963111,1,1
36,93483.0,7,1,Mobile,5.525958310486475,1,1
31,50101.0,4,1,In-Store,4.658385948960021,1,1
60,56291.0,21,0,Online,5.130293929773017,1,0
43,43243.0,12,0,Online,5.1511470570246125,1,0
46,56983.0,21,0,Online,4.6684233872956815,1,0
31,74723.0,3,0,In-Store,4.324669174950765,1,0
40,33726.0,12,0,Mobile,4.319048790713914,1,0
46,91334.0,0,0,Online,5.317305056308654,1,0
33,78289.0,37,0,In-Store,6.982602417623767,1,1
49,77418.0,36,0,Online,6.92160499341783,1,1
39,67649.0,25,0,In-Store,4.480727702115212,1,0
42,41928.0,19,0,Mobile,5.4419185480856385,1,0
39,80242.0,31,0,Online,6.004792685263185,1,0
64,53605.0,25,1,In-Store,6.598859501606334,1,1
45,26229.0,22,0,In-Store,4.2242617658297315,1,0
34,61592.0,24,1,Mobile,6.39551654537918,1,1
53,36820.0,14,1,In-Store,5.604284873076994,1,1
33,47898.0,11,1,In-Store,5.584199845935456,1,0
47,74134.0,26,0,Mobile,5.328523226353504,1,1
25,57607.0,25,0,Mobile,7.341463382210443,1,0
32,59251.0,16,1,Mobile,4.277727008147183,1,0
47,83368.0,19,0,Online,5.701664167553864,1,1
52,20000.0,1,0,In-Store,3.964013481995133,1,0
47,82498.0,15,0,Online,6.876250175556073,1,1
44,62950.0,5,0,Mobile,3.971398466558858,1,0
42,58617.0,4,0,Online,4.758425485430629,1,1
30,59246.0,17,0,Online,4.352649933837341,1,0
38,72796.0,7,0,In-Store,7.427095623401323,1,0
40,80519.0,88,0,In-Store,5.553562676488328,1,0
56,55272.0,13,0,Mobile,5.083998846448539,1,0
48,57317.0,8,0,In-Store,6.314135127104742,1,0
27,72179.0,6,1,Online,7.032867577769513,1,0
48,20000.0,11,1,Online,4.260971111422035,1,0
41,58026.0,11,0,Mobile,6.817850942378343,1,1
38,69962.0,39,0,Mobile,6.593001838088655,1,1
51,50134.0,10,0,Online,7.731710327513917,1,1
55,44028.0,11,1,In-Store,4.3024418957757975,1,1
54,56953.0,18,0,Online,6.266640273618631,1,1
37,48301.0,4,0,Online,4.551173083259378,1,0
42,55087.0,12,0,In-Store,5.0060221957707665,1,1
48,50558.0,28,0,Mobile,4.152970727000067,1,1
55,91233.0,14,1,In-Store,6.745174167126338,1,1
40,37209.0,13,1,Mobile,4.329802846859097,1,0
43,76696.0,9,0,In-Store,5.97938471585329,1,0
34,48255.0,4,0,Online,6.611832688678501,1,0
33,66516.0,13,0,Online,4.3597895021315365,1,0
53,72941.0,19,0,Mobile,6.148921942161992,1,1
59,90608.0,39,0,Online,6.4163799060796425,1,1
44,67858.0,7,0,Mobile,5.922179582637403,1,0
55,52071.0,6,0,Online,5.8213222389406445,1,1
49,61315.0,14,1,Mobile,5.306250851809309,1,1
39,98370.0,26,0,Online,5.811552199658727,1,0
49,63269.0,1,0,Online,6.82536742635947,1,1
60,33844.0,21,0,In-Store,5.527823470626835,1,1
45,52334.0,6,0,Online,6.259414050030154,1,0
61,51819.0,9,0,Mobile,4.1832216534959645,1,0
19,74599.0,12,0,Online,5.833668791752798,1,1
53,35560.0,11,0,Online,4.962571838494335,1,0
46,49845.0,14,0,In-Store,6.17976811716997,1,0
42,64270.0,2,0,Mobile,5.3785061826364045,1,0
46,54392.0,16,1,Mobile,4.309779457528091,1,1
25,61818.0,19,0,In-Store,5.373151520931844,1,0
43,62952.0,23,1,Online,4.369091309046261,1,0
49,64290.0,4,0,Online,5.011490333316128,1,1
60,41461.0,10,0,In-Store,5.2248840557462595,1,1
40,75952.0,11,0,In-Store,5.706806203488239,1,1
37,49294.0,0,0,Mobile,5.325123131559321,1,0
40,59768.0,8,0,Mobile,5.840372629423108,1,1
54,35762.0,22,0,Mobile,5.859038820160223,1,0
48,60798.0,23,1,Mobile,6.7412976792241155,1,1
40,63804.0,37,1,In-Store,5.496664369632897,1,1
50,60725.0,10,0,Online,5.119600725901949,1,0
46,44394.0,34,0,Mobile,4.958165179546178,1,0
55,82559.0,6,0,Online,7.908401631625683,1,1
38,71669.0,28,0,In-Store,5.248913177974019,1,1
42,57222.0,34,1,Online,4.088385355023277,1,0
41,57039.0,34,1,In-Store,4.613890295087254,1,1
30,45237.0,2,0,Mobile,6.140082275956056,1,0
48,47544.0,19,1,In-Store,4.319860827367843,1,1
48,89137.0,14,0,Online,5.84252040361805,1,1
45,52834.0,10,0,In-Store,6.625412189963654,1,0
43,115278.0,18,0,Online,5.626484654533535,1,1
31,36807.0,9,0,Mobile,6.265076941343622,1,1
41,67375.0,14,0,Online,5.841605835438376,1,0
42,64524.0,18,1,Mobile,5.360397741770392,1,1
37,60725.0,6,0,In-Store,4.8424789482051365,1,1
43,28158.0,16,0,Online,4.727249334021942,1,0
49,32575.0,12,0,Mobile,5.788049527802055,1,0
64,63911.0,8,0,Online,6.316033121774463,1,1
47,39519.0,9,0,Online,6.706966583926656,1,0
48,84181.0,67,1,Mobile,8.709396310877517,1,1
44,55521.0,21,0,Mobile,5.617539630112014,1,0
26,65100.0,18,0,Mobile,5.484953959860334,1,1
45,59191.0,36,0,Mobile,4.278622016786933,1,0
46,58636.0,26,0,Mobile,5.564766110344847,1,1
70,90416.0,14,0,In-Store,6.772978091709318,1,1
43,81687.0,29,0,Online,5.351065123517516,1,1
48,63086.0,12,0,Online,4.606460613638765,1,0
45,73499.0,2,0,Mobile,5.27747370461176,1,1
33,83462.0,8,1,Online,5.957732277206143,1,1
56,48043.0,24,1,Online,5.743928889490365,1,0
53,28901.0,9,0,Mobile,5.836802404420107,1,0
53,71060.0,15,0,Online,5.443449597414216,1,1
36,84920.0,2,1,Mobile,4.653380427761169,1,0
59,25706.0,40,0,Online,4.065274118714063,1,1
31,47874.0,2,0,Online,6.402402856076368,1,0
51,55172.0,8,0,In-Store,6.205050000336027,1,1
67,40350.0,15,0,In-Store,5.407340435110259,1,1
35,57108.0,15,0,Online,3.3304677701250043,1,0
39,37730.0,36,1,In-Store,5.745738683765195,1,0
46,53618.0,15,0,Online,5.529097982754927,1,1
40,73987.0,8,0,Online,6.783117094836119,1,1
29,20000.0,12,0,Online,4.939899659309114,1,0
46,38978.0,55,1,Mobile,5.312409083609919,1,1
34,88014.0,22,0,Online,6.536032680052035,1,1
50,43514.0,23,1,Online,3.8797005732055796,1,1
36,20000.0,19,0,In-Store,5.971369689487475,1,0
60,63424.0,12,0,Mobile,6.309472783885629,1,1
37,58505.0,37,0,Mobile,4.951657973490947,1,0
42,62963.0,14,0,In-Store,6.829353758301403,1,1
53,61148.0,14,1,Online,5.192440085435709,1,1
33,85458.0,17,0,Online,4.744077281844157,1,0
47,45939.0,14,0,Online,3.562277469840266,1,1
58,58124.0,0,0,Mobile,7.087607351937691,1,1
29,51346.0,11,0,In-Store,7.073243992764056,1,0
47,73527.0,20,0,Online,7.11168289693736,1,0
48,75551.0,112,0,In-Store,8.167684913511428,1,0
53,67448.0,29,0,In-Store,5.14393956018273,1,0
33,103076.0,20,0,Online,4.545018128025102,1,0
32,71066.0,12,1,Mobile,5.511639550730177,1,0
50,85100.0,38,0,Online,5.773891114165917,1,0
48,42293.0,12,0,Online,5.8372912983885605,1,0
48,46036.0,25,0,Mobile,5.652749951010784,1,0
48,99607.0,43,0,Mobile,7.608055648772368,1,1
38,32921.0,42,0,Online,5.474179439221949,1,0
47,75357.0,4,0,Mobile,6.688388922439654,1,1
48,85734.0,22,0,In-Store,5.733312986211876,1,1
38,83511.0,39,1,In-Store,4.29312258809168,1,1
64,28093.0,13,0,Mobile,5.942599498823749,1,0
50,52984.0,6,0,Online,5.21677312519172,1,0
33,72444.0,14,0,In-Store,5.612315165005948,1,1
52,74840.0,26,1,Mobile,7.004325849242783,1,1
35,59820.0,4,1,Mobile,3.051566871486832,1,1
53,46078.0,23,0,Online,6.2570405160146425,1,0
57,54530.0,5,1,Mobile,4.754003639358936,1,1
37,47635.0,51,1,Online,7.0510452871611475,1,0
55,35146.0,26,0,In-Store,4.425051048005349,1,1
49,54018.0,6,0,Online,6.1451821408620635,1,0
53,96986.0,40,0,Mobile,6.5567962675114195,1,1
64,54423.0,5,0,Online,5.380460918954758,1,1
43,29744.0,4,0,Online,4.371341175375968,1,0
37,52826.0,4,0,Online,3.947781237301518,1,1
36,94561.0,35,0,Online,5.795635322784636,1,1
37,28141.0,9,1,In-Store,5.488449190043912,1,0
44,59981.0,0,0,In-Store,3.2242514405840432,1,0
48,74755.0,9,0,Online,4.064728137064787,1,0
48,37181.0,12,1,Mobile,4.677873109671881,1,1
53,63816.0,16,0,Mobile,5.624093998815287,1,1
45,41735.0,12,0,Mobile,6.485446330342197,1,0
60,35485.0,37,0,Online,5.180680026264073,1,0
42,72453.0,3,0,Online,6.525795141037216,1,1
72,96461.0,21,0,Online,6.994550932706678,1,0
51,52259.0,58,0,In-Store,4.90623931521724,1,0
36,71615.0,7,0,In-Store,5.049563243593718,1,0
34,69675.0,10,0,Online,5.939043394421337,1,0
50,63480.0,26,1,Online,5.322833578988085,1,0
43,46225.0,12,1,Online,6.644315220394692,1,0
52,39734.0,25,1,Online,5.0379473971847775,1,0
50,44056.0,44,0,In-Store,5.04943135649424,1,0
44,56425.0,8,0,Online,7.102228100477705,1,0
37,51614.0,5,0,Online,4.012131945191828,1,1
30,37018.0,13,0,Online,5.559056565555703,1,0
41,55897.0,3,0,Mobile,4.248192277558024,1,1
54,47286.0,5,0,Online,5.701940422203833,1,0
47,71139.0,31,0,Online,5.753617850919851,1,0
33,52181.0,16,0,In-Store,6.281523451823436,1,1
47,76875.0,3,0,In-Store,4.704683696736037,1,1
49,64594.0,5,0,Online,6.743971515177643,1,1
36,50067.0,17,0,Online,6.370252765116866,1,0
47,56732.0,6,0,Online,4.706125087978549,1,1
46,57298.0,15,0,Mobile,8.076657977146818,1,1
34,63323.0,14,0,Mobile,5.336779706203506,1,0
49,67220.0,3,0,Mobile,5.680947804414291,1,1
51,50995.0,3,0,Online,5.677638753800909,1,1
56,55229.0,40,1,In-Store,6.331855529190443,1,1
56,62287.0,52,0,Online,6.348052229937475,1,0
31,20000.0,45,0,Online,5.613315384250164,1,0
36,71060.0,10,0,Online,6.7960787080749405,1,1
50,40926.0,22,0,In-Store,6.084147455033619,1,0
50,54219.0,12,0,Online,6.666378400084223,1,1
50,46453.0,3,0,In-Store,5.249407400840189,1,1
80,74970.0,14,0,In-Store,4.1781972877258,1,0
51,80495.0,24,0,Online,4.750757720724561,1,0
56,57754.0,12,0,Online,6.4468191242543815,1,1
55,58012.0,34,0,In-Store,6.179820368719238,1,0
52,59222.0,12,0,Online,5.187343488338823,1,1
42,59686.0,24,0,Online,5.480036717702975,1,1
53,80020.0,5,0,Mobile,5.189158810435252,1,1
37,120208.0,6,1,In-Store,6.229678295140198,1,1
43,56561.0,5,0,Mobile,6.113123852584278,1,1
40,71370.0,35,0,Mobile,5.8755424043887725,1,1
46,43065.0,35,0,Online,5.988542371039346,1,0
68,44895.0,35,0,Online,4.204746126774974,1,1
26,39595.0,20,0,Mobile,4.604731629170301,1,0
52,86789.0,4,0,Online,5.787515975965422,1,1
29,74072.0,85,1,Online,6.832153173861317,1,1
40,52302.0,13,0,In-Store,7.642759598106173,1,0
56,64259.0,22,1,Mobile,5.548317509688484,1,1
46,75290.0,2,0,Online,5.321303728797844,1,1
34,83920.0,44,0,Online,5.118221555788268,1,1
38,68170.0,24,0,Mobile,6.462489870770547,1,0
52,61839.0,11,0,Online,6.290885277153378,1,1
38,86380.0,14,0,Online,4.6769107756690795,1,1
47,37930.0,6,0,Online,4.4322377970694244,1,1
45,21563.0,5,0,Online,5.288114083655212,1,1
38,85124.0,16,1,Online,7.5610324155158075,1,1
66,51015.0,16,0,In-Store,7.4602938928219515,1,0
51,86739.0,4,0,Mobile,6.346694295914098,1,0
25,98390.0,15,0,Mobile,5.019236518807867,1,1
47,97078.0,12,0,Mobile,5.820244312706491,1,0
38,20000.0,21,0,Online,7.335884876903681,1,0
54,76020.0,41,0,In-Store,6.637132367785083,1,1
37,49822.0,12,0,In-Store,4.384491508284173,1,1
44,46952.0,55,0,Online,5.221847537517147,1,0
50,67440.0,8,0,Mobile,6.371773890647243,1,1
54,47467.0,12,1,Online,6.2163837260821655,1,0
33,74985.0,17,1,In-Store,7.789377089628054,1,1
42,86427.0,46,0,Mobile,6.319749534499592,1,1
40,55960.0,4,0,Mobile,5.648803913014232,1,0
38,67179.0,25,0,Online,6.849906576057153,1,0
63,50840.0,8,0,Mobile,6.6708660095816095,1,1
49,69360.0,3,0,Mobile,6.991864722161338,1,1
32,88344.0,15,1,Online,4.969403765449165,1,1
54,68199.0,13,0,Online,3.0355119766890897,1,1
66,57619.0,16,0,Mobile,3.6506093901262693,1,1
55,86210.0,7,1,Online,5.649478414807166,1,1
30,51862.0,14,0,In-Store,5.6321284297627345,1,0
40,52356.0,29,0,Online,7.03214349050532,1,0
58,46717.0,8,0,In-Store,4.105069260018277,1,1
38,28626.0,33,0,In-Store,6.121200558376366,1,0
49,42799.0,26,0,Online,6.3889373102471225,1,0
53,61100.0,3,0,In-Store,4.855425091979,1,1
36,64584.0,19,1,In-Store,7.355086435139744,1,1
44,40647.0,16,0,Online,5.162772070790045,1,0
18,49795.0,16,0,In-Store,4.057602073686393,1,0
35,22149.0,8,0,Mobile,6.716670674959569,1,0
42,103742.0,9,0,Online,7.386510311507835,1,1
33,89335.0,46,0,Online,6.7743965032870666,1,1
61,45684.0,20,0,Online,5.824741827526066,1,1
31,62751.0,16,0,In-Store,5.506521014326771,1,1
41,42407.0,6,0,Online,4.797188036171517,1,0
46,80488.0,10,0,In-Store,7.006830381078949,1,1
59,72861.0,43,1,In-Store,5.093873308968709,1,1
31,33715.0,12,1,Mobile,8.030729546672081,1,0
57,40518.0,11,1,Online,5.648929876844452,1,0
45,58608.0,5,0,In-Store,5.2438225204559785,1,0
35,87686.0,1,1,Mobile,6.655062691774066,1,1
50,52418.0,34,0,Mobile,4.423718682841855,1,0
47,86151.0,3,1,Online,6.714394025819318,1,1
39,66218.0,48,0,Online,5.088007324581352,1,1
46,43348.0,4,0,Online,4.386676265192969,1,0
41,51638.0,8,0,In-Store,5.665734420333515,1,0
46,72648.0,26,0,In-Store,5.953309566985421,1,0
52,76820.0,20,0,Online,6.945096845515147,1,1
61,78635.0,22,1,In-Store,4.61566667221565,1,1
33,64282.0,5,1,Mobile,5.79558424918149,1,0
66,68916.0,14,1,Online,6.272531069260853,1,1
25,105132.0,18,1,In-Store,4.772734331724317,1,1
43,108141.0,10,1,In-Store,5.132596987431734,1,1
